ID externo,Adaia Type,Campo Adaia,Campo Odoo (si existe),Caracter de relleno,Display Name,Fin cadena,Inicio cadena,L. Decimal,L. Entera,Longitud,Obligatorio,Odoo Model,Sequence,Sga File,V. por defecto
__export__.sgavar_file_var_1021_7023bdfe,Numerico,NUMUNI,,,NUMUNI,34,27,3,5,8,True,mrp.model_product_template,4,17,1
__export__.sgavar_file_var_1035_b3b1ea1c,Alfanumerico,EANTIP,, ,EANTIP,40,37,0,4,4,True,mrp.model_product_product,4,18,CPRV
__export__.sgavar_file_var_1043_5eefa9aa,Alfanumerico,EANTIP,, ,EANTIP,40,37,0,4,4,True,mrp.model_product_product,4,19,CPRV
__export__.sgavar_file_var_1048_76e28e0f,Alfanumerico,EANTIP,, ,EANTIP,40,37,0,4,4,True,mrp.model_product_product,4,20,CPRV
__export__.sgavar_file_var_1059_693a7f23,Alfanumerico,ZONUBIREF,, ,ZONUBIREF,28,25,0,4,4,False,stock.model_stock_quant,4,21,
__export__.sgavar_file_var_1092_63266f5d,Related-Alfanumérico,CNTDOREF,stock.field_stock_move_line_result_package_id, ,CNTDOREF,64,47,0,18,18,True,mrp.model_stock_move_line,4,22,name
__export__.sgavar_file_var_559_69f4b43a,Related-Alfanumérico,TERPROREF,stock.field_stock_picking_partner_id, ,TERPROREF,56,41,0,16,16,True,mrp_bom_phantom_fix.model_stock_picking,5,1,id
__export__.sgavar_file_var_574_f0662995,Related-Alfanumérico,TERREF,stock.field_stock_picking_partner_id, ,TERREF,49,34,0,16,16,True,mrp_bom_phantom_fix.model_stock_picking,5,2,id
__export__.sgavar_file_var_586_2607cc8c,Related-Alfanumérico,TERREF,stock.field_stock_picking_partner_id, ,TERREF,39,24,0,16,16,True,mrp_bom_phantom_fix.model_stock_picking,5,3,id
__export__.sgavar_file_var_606_cf1f2606,Alfanumerico,TERPROREF,, ,TERPROREF,55,40,0,16,16,False,mrp_bom_phantom_fix.model_stock_picking,5,4,
__export__.sgavar_file_var_621_9d874f9f,Alfanumerico,TIPUNI,, ,TIPUNI,51,48,0,4,4,True,mrp.model_stock_move_line,5,5,UD
__export__.sgavar_file_var_637_95c5cde5,Alfanumerico,TIPUNI,, ,TIPUNI,51,48,0,4,4,True,mrp.model_stock_move_line,5,6,UD
__export__.sgavar_file_var_649_a4eddd3a,Numerico,CANPED,stock.field_stock_move_line_ordered_qty, ,CANPED,55,47,0,9,9,True,mrp.model_stock_move_line,5,7,
__export__.sgavar_file_var_716_0d746ab9,Alfanumerico,CANPED,stock.field_stock_move_line_ordered_qty, ,CANPED,55,47,0,9,9,True,mrp.model_stock_move_line,5,8,
__export__.sgavar_file_var_733_93d9c7a4,Alfanumerico,ALIAS,base.field_res_partner_display_name, ,ALIAS,90,79,0,12,12,True,rappel.model_res_partner,5,9,
__export__.sgavar_file_var_792_8af6c1e4,Alfanumerico,ALIAS,base.field_res_partner_display_name, ,ALIAS,90,79,0,12,12,True,rappel.model_res_partner,5,10,
__export__.sgavar_file_var_860_1a2d4b63,Alfanumerico,ALIAS,base.field_res_partner_display_name, ,ALIAS,90,79,0,12,12,True,rappel.model_res_partner,5,11,
__export__.sgavar_file_var_880_f70f0366,Alfanumerico,ROTTIP,, ,ROTTIP,82,79,0,4,4,True,mrp.model_product_product,5,12,FE
__export__.sgavar_file_var_916_c03cf278,Alfanumerico,ROTTIP,, ,ROTTIP,82,79,0,4,4,True,mrp.model_product_product,5,13,FE
__export__.sgavar_file_var_952_51931ef5,Alfanumerico,ROTTIP,, ,ROTTIP,82,79,0,4,4,True,mrp.model_product_product,5,14,FE
__export__.sgavar_file_var_988_5cfaec2b,Numerico,CUB,product.field_product_template_volume, ,CUB,43,35,3,6,9,False,mrp.model_product_template,5,15,
__export__.sgavar_file_var_1005_bbea45fd,Numerico,CUB,product.field_product_template_volume,,CUB,43,35,3,6,9,False,mrp.model_product_template,5,16,
__export__.sgavar_file_var_1022_039ff1a8,Numerico,CUB,product.field_product_template_volume,,CUB,43,35,3,6,9,False,mrp.model_product_template,5,17,
__export__.sgavar_file_var_1058_85304f46,Alfanumerico,UBIREF,, ,UBIREF,44,29,0,16,16,False,stock.model_stock_quant,5,21,
__export__.sgavar_file_var_1093_71442b80,Alfanumerico,CNTPRO,, ,CNTPRO,68,65,0,4,4,False,mrp.model_stock_move_line,5,22,
__export__.sgavar_file_var_560_a053110a,Alfanumerico,RECORDTIP,, ,RECORDTIP,60,57,0,4,4,True,mrp_bom_phantom_fix.model_stock_picking,6,1,ENPR
__export__.sgavar_file_var_575_f571dfa3,Related-Alfanumérico,TERPROREF,stock.field_stock_picking_partner_id, ,TERPROREF,65,50,0,16,16,True,mrp_bom_phantom_fix.model_stock_picking,6,2,id
__export__.sgavar_file_var_587_e15dc7d5,Alfanumerico,TERPROREF,, ,TERPROREF,55,40,0,16,16,False,mrp_bom_phantom_fix.model_stock_picking,6,3,
__export__.sgavar_file_var_607_2ef0be44,Alfanumerico,EXPORDTIP,, ,EXPORDTIP,59,56,0,4,4,False,mrp_bom_phantom_fix.model_stock_picking,6,4,
__export__.sgavar_file_var_622_d67291e6,Related-Numérico,NUMUNI,stock.field_stock_move_line_product_uom_id, ,NUMUNI,59,52,0,8,8,True,mrp.model_stock_move_line,6,5,factor
__export__.sgavar_file_var_638_0a6d3159,Related-Numérico,PESREC,product.field_product_product_weight, ,PESREC,60,52,3,6,9,False,mrp.model_stock_move_line,6,6,weight
__export__.sgavar_file_var_650_7502333e,Alfanumerico,TIPUNI,, ,TIPUNI,59,56,0,4,4,True,mrp.model_stock_move_line,6,7,UD
__export__.sgavar_file_var_717_f0fc833a,Alfanumerico,CANSER,stock.field_stock_move_line_product_qty, ,CANSER,64,56,0,9,9,True,mrp.model_stock_move_line,6,8,
__export__.sgavar_file_var_756_6361a08c,Alfanumerico,TERORI,sga_adaia_integration.field_res_partner_partner_type, ,TERORI,94,91,0,4,4,True,rappel.model_res_partner,6,9,
__export__.sgavar_file_var_838_ee7c5c1a,Alfanumerico,TERORI,sga_adaia_integration.field_res_partner_partner_type, ,TERORI,94,91,0,4,4,True,rappel.model_res_partner,6,10,
__export__.sgavar_file_var_861_565452d9,Alfanumerico,TERORI,sga_adaia_integration.field_res_partner_partner_type, ,TERORI,94,91,0,4,4,True,rappel.model_res_partner,6,11,
__export__.sgavar_file_var_881_a418352c,Alfanumerico,DIACAD,, ,DIACAD,87,83,0,5,5,False,mrp.model_product_product,6,12,
__export__.sgavar_file_var_917_8440826e,Alfanumerico,DIACAD,, ,DIACAD,87,83,0,5,5,False,mrp.model_product_product,6,13,
__export__.sgavar_file_var_953_5ab6ec8b,Alfanumerico,DIACAD,, ,DIACAD,87,83,0,5,5,False,mrp.model_product_product,6,14,
__export__.sgavar_file_var_989_bf2f2606,Numerico,MEDLAR,, ,MEDLAR,52,44,3,6,9,False,mrp.model_product_template,6,15,
__export__.sgavar_file_var_1006_88558594,Numerico,MEDLAR,,,MEDLAR,52,44,3,6,9,False,mrp.model_product_template,6,16,
__export__.sgavar_file_var_1023_df265ef6,Numerico,MEDLAR,,,MEDLAR,52,44,3,6,9,False,mrp.model_product_template,6,17,
__export__.sgavar_file_var_1057_0664eed9,Alfanumerico,ZONPICREF,, ,ZONPICREF,48,45,0,4,4,False,stock.model_stock_quant,6,21,
__export__.sgavar_file_var_1094_7346ae03,Related-Alfanumérico,TERPROREF,stock_move_apk.field_stock_move_line_partner_id, ,TERPROREF,84,69,0,16,16,True,mrp.model_stock_move_line,6,22,id
__export__.sgavar_file_var_561_a1150b59,Fecha,FECORD,stock.field_stock_picking_date, ,FECORD,8,61,0,8,8,True,mrp_bom_phantom_fix.model_stock_picking,7,1,
__export__.sgavar_file_var_576_72bcbecc,Alfanumerico,RECORDTIP,, ,RECORDTIP,69,66,0,4,4,True,mrp_bom_phantom_fix.model_stock_picking,7,2,ENPR
__export__.sgavar_file_var_588_ff8a5931,Alfanumerico,EXPORDTIP,, ,EXPORDTIP,59,56,0,4,4,False,mrp_bom_phantom_fix.model_stock_picking,7,3,
__export__.sgavar_file_var_608_48926fd0,Alfanumerico,EXPORDSUBTIP,, ,EXPORDSUBTIP,63,60,0,4,4,False,mrp_bom_phantom_fix.model_stock_picking,7,4,
__export__.sgavar_file_var_623_e6f077dc,Related-Numérico,PESPED,stock.field_stock_move_line_product_id, ,PESPED,68,60,3,3,6,False,mrp.model_stock_move_line,7,5,weight
__export__.sgavar_file_var_639_736fb1ca,Related-Numérico,PRECOM,product.field_product_product_weight, ,PRECOM,69,61,2,7,9,False,mrp.model_stock_move_line,7,6,standard_price
__export__.sgavar_file_var_703_9e5070ac,Related-Numérico,NUMUNI,stock.field_stock_move_line_product_uom_id, ,NUMUNI,67,60,0,8,8,True,mrp.model_stock_move_line,7,7,factor
__export__.sgavar_file_var_718_46e8b5c6,Alfanumerico,TIPUNI,, ,TIPUNI,68,65,0,4,4,True,mrp.model_stock_move_line,7,8,UD
__export__.sgavar_file_var_757_9efbd841,Alfanumerico,DIR1,base.field_res_partner_street, ,DIR1,134,95,0,40,40,False,rappel.model_res_partner,7,9,
__export__.sgavar_file_var_839_884524cc,Alfanumerico,DIR1,base.field_res_partner_street, ,DIR1,134,95,0,40,40,False,rappel.model_res_partner,7,10,
__export__.sgavar_file_var_862_da29fcf6,Alfanumerico,DIR1,base.field_res_partner_street, ,DIR1,134,95,0,40,40,False,rappel.model_res_partner,7,11,
__export__.sgavar_file_var_882_3b96c278,Alfanumerico,DIACADMAX,, ,DIACADMAX,92,88,0,5,5,False,mrp.model_product_product,7,12,
__export__.sgavar_file_var_918_2a95579d,Alfanumerico,DIACADMAX,, ,DIACADMAX,92,88,0,5,5,False,mrp.model_product_product,7,13,
__export__.sgavar_file_var_954_d91b5ffb,Alfanumerico,DIACADMAX,, ,DIACADMAX,92,88,0,5,5,False,mrp.model_product_product,7,14,
__export__.sgavar_file_var_990_607477f3,Numerico,MEDALT,, ,MEDALT,60,53,3,6,9,False,mrp.model_product_template,7,15,
