"id","version_active","file_bytes","cte_name","model","file_filter","odoo_model/id","sga_file_var_ids/adaia_type","sga_file_var_ids/name","sga_file_var_ids/odoo_name/id","sga_file_var_ids/fillchar","sga_file_var_ids/en","sga_file_var_ids/st","sga_file_var_ids/length_dec","sga_file_var_ids/length_int","sga_file_var_ids/length","sga_file_var_ids/odoo_model/id","sga_file_var_ids/required","sga_file_var_ids/sequence","sga_file_var_ids/default","description","code","version"
"","","","","","","","Alfanumerico","BLOQUEADO",""," ","138","138","0","1","1","stock_available_global.model_product_product","False","19","N","","",""
"","","","","","","","Numérico","NUMDIACALCAD",""," ","142","139","0","4","4","stock_available_global.model_product_product","False","20","","","",""
"","","","","","","","Numérico","ADMCANMAYPOR",""," ","145","143","0","3","3","stock_available_global.model_product_product","False","21","","","",""
"","","","","","","","Alfanumerico","LOTE",""," ","165","146","0","20","20","stock_available_global.model_product_product","False","22","","","",""
"","","","","","","","Alfanumerico","CONCRETO",""," ","167","166","0","2","2","stock_available_global.model_product_product","False","23","","","",""
"","","","","","","","Alfanumerico","CNTTIP",""," ","173","168","0","8","8","stock_available_global.model_product_product","False","24","","","",""
"","","","","","","","Alfanumerico","LOTREQEXP",""," ","174","174","0","1","1","stock_available_global.model_product_product","False","25","N","","",""
"","","","","","","","Alfanumerico","CRIROTREQEXP",""," ","175","175","0","1","1","stock_available_global.model_product_product","False","26","N","","",""
"","","","","","","","Alfanumerico","PRIEXPEDI",""," ","179","176","0","4","4","stock_available_global.model_product_product","False","27","","","",""
"","","","","","","","Alfanumerico","GESENV",""," ","180","180","0","1","1","stock_available_global.model_product_product","False","28","","","",""
"","","","","","","","Alfanumerico","SUBTIPART",""," ","184","181","0","4","4","stock_available_global.model_product_product","False","29","","","",""
"","","","","","","","Numérico","TEMRECMIN",""," ","187","185","0","3","3","stock_available_global.model_product_product","False","30","","","",""
"","","","","","","","Numérico","TEMRECMAX",""," ","190","188","0","3","3","stock_available_global.model_product_product","False","31","","","",""
"","","","","","","","Numérico","PESINFPOR",""," ","192","191","0","3","3","stock_available_global.model_product_product","False","32","","","",""
"","","","","","","","Numérico","PRESSUPPOR",""," ","195","193","0","3","3","stock_available_global.model_product_product","False","33","","","",""
"","","","","","","","Alfanumerico","REPREC",""," ","199","196","0","4","4","stock_available_global.model_product_product","False","34","","","",""
"","","","","","","","Alfanumerico","ABCLOG",""," ","200","200","0","1","1","stock_available_global.model_product_product","False","35","C","","",""
"__export__.sgavar_file_13_sa3w1was","False","203","Modificación Producto","Producto","","stock_available_global.model_product_product","Alfanumerico","TIPREG",""," ","4","1","0","4","4","stock_available_global.model_product_product","True","0","AR ","","AR0","1"
"","","","","","","","Alfanumerico","ACCION",""," ","6","5","0","2","2","stock_available_global.model_product_product","True","1","MO","","",""
"","","","","","","","Alfanumerico","ARTREF","product.field_product_template_default_code"," ","22","7","0","16","16","stock_available_global.model_product_product","True","2","","","",""
"","","","","","","","Alfanumerico","ARTDES","product.field_product_template_name"," ","62","23","0","40","40","stock_available_global.model_product_product","True","3","","","",""
"","","","","","","","Alfanumerico","ARTPRIREF",""," ","78","63","0","16","16","stock_available_global.model_product_product","False","4","","","",""
"","","","","","","","Alfanumerico","ROTTIP",""," ","82","79","0","4","4","stock_available_global.model_product_product","True","5","FE","","",""
"","","","","","","","Alfanumerico","DIACAD",""," ","87","83","0","5","5","stock_available_global.model_product_product","False","6","","","",""
"","","","","","","","Alfanumerico","DIACADMAX",""," ","92","88","0","5","5","stock_available_global.model_product_product","False","7","","","",""
