"id","version_active","file_bytes","create_uid/id","create_date","cte_name","file_filter","write_uid/id","write_date","model","odoo_model/id","sga_file_var_ids/id","sga_file_var_ids/adaia_type","sga_file_var_ids/name","sga_file_var_ids/odoo_name/id","sga_file_var_ids/fillchar","sga_file_var_ids/create_uid/id","sga_file_var_ids/create_date","sga_file_var_ids/en","sga_file_var_ids/st","sga_file_var_ids/length_dec","sga_file_var_ids/length_int","sga_file_var_ids/write_uid/id","sga_file_var_ids/write_date","sga_file_var_ids/length","sga_file_var_ids/required","sga_file_var_ids/odoo_model/id","sga_file_var_ids/sequence","sga_file_var_ids/default","description","code","version"
"","","","","","","","","","","","__export__.sgavar_file_var_634_51501013","Alfanumerico","RECORDREF","stock.field_stock_move_line_reference"," ","","","22","7","0","16","","","16","True","mrp.model_stock_move_line","2","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_635_9b906b1b","Alfanumerico","ARTREF",""," ","","","38","23","0","16","","","16","True","mrp.model_stock_move_line","3","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_636_a5777eaa","Related-Numérico","CANREC","stock.field_stock_move_line_product_uom_id"," ","","","47","39","0","9","","","9","True","mrp.model_stock_move_line","4","factor","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_637_95c5cde5","Alfanumerico","TIPUNI",""," ","","","51","48","0","4","","","4","True","mrp.model_stock_move_line","5","UD","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_638_0a6d3159","Related-Numérico","PESREC","product.field_product_product_weight"," ","","","60","52","3","6","","","9","False","mrp.model_stock_move_line","6","weight","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_639_736fb1ca","Related-Numérico","PRECOM","product.field_product_product_weight"," ","","","69","61","2","7","","","9","False","mrp.model_stock_move_line","7","standard_price","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_640_46a913dc","Numerico","PESPRO",""," ","","","78","70","3","6","","","9","False","mrp.model_stock_move_line","8","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_641_c4f622bb","Numerico","RECORDLIN","stock.field_stock_move_line_id"," ","","","77","79","0","9","","","9","False","mrp.model_stock_move_line","9","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_642_c76b41a1","Alfanumerico","LOTE","stock.field_stock_move_line_lot_name"," ","","","107","88","0","20","","","20","False","mrp.model_stock_move_line","10","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_643_8cb04739","Alfanumerico","INCIDENCIA",""," ","","","167","108","0","60","","","60","False","mrp.model_stock_move_line","11","","","",""
"sga_adaia_integration.sgvar_file_expedition_order_line","False","152","base.user_root","2019-05-29 07:56:20","Orden de expedición, líneas","","__export__.res_users_5_246af995","2019-06-07 11:42:10","Operación de empaquetado","mrp.model_stock_move_line","__export__.sgavar_file_var_644_dab0b21c","Alfanumerico","TIPREG",""," ","","","4","1","0","4","","","4","True","mrp.model_stock_move_line","0","OELI","","OEL","0"
"","","","","","","","","","","","__export__.sgavar_file_var_645_ad28f32a","Alfanumerico","ACCION",""," ","","","6","5","0","2","","","2","True","mrp.model_stock_move_line","1","AG","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_646_dba4da85","Alfanumerico","EXPORDREF","stock.field_stock_move_line_reference"," ","","","21","7","0","15","","","15","True","mrp.model_stock_move_line","2","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_647_70eb599c","Numerico","EXPORDLIN","stock.field_stock_move_line_id"," ","","","30","22","0","9","","","9","False","mrp.model_stock_move_line","3","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_648_42d9bffb","Alfanumerico","ARTREF",""," ","","","46","31","0","16","","","16","True","mrp.model_stock_move_line","4","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_649_a4eddd3a","Numerico","CANPED","stock.field_stock_move_line_ordered_qty"," ","","","55","47","0","9","","","9","True","mrp.model_stock_move_line","5","","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_650_7502333e","Alfanumerico","TIPUNI",""," ","","","59","56","0","4","","","4","True","mrp.model_stock_move_line","6","UD","","",""
"","","","","","","","","","","","__export__.sgavar_file_var_703_9e5070ac","Related-Numérico","NUMUNI","stock.field_stock_move_line_product_uom_id"," ","","","67","60","0","8","","","8","True","mrp.model_stock_move_line","7","factor","","",""
